SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
524444,KAVITIND    ,X ,Q,17.50,18.05,16.35,17.40,17.25,17.20,46,43002,748505.00,
524470,SYNCOM FORM.,ST,Q,1.79,1.79,1.71,1.78,1.77,1.71,155,446413,792230.00,
524480,RIDHI SIDHI ,X ,Q,790.00,790.00,761.00,772.35,772.50,759.85,72,1112,863336.00,
524494,IPCA LAB LTD,A ,Q,620.05,653.40,615.30,639.80,635.00,620.05,2549,63642,40821771.00,
524500,KILITCH DRUG,B ,Q,81.00,98.75,81.00,98.75,98.75,82.30,337,47197,4536899.00,
524506,CORAL LAB.  ,X ,Q,607.45,639.80,590.00,624.95,624.95,629.50,41,795,499880.00,
524518,KREBS BIOCHM,T ,Q,145.00,146.70,143.10,146.70,146.70,141.25,6,944,135151.00,
524520,KMC SHIL    ,X ,Q,24.30,24.30,22.90,23.95,24.00,23.15,195,76557,1820372.00,
524522,LAFFANS PETR,X ,Q,25.70,27.00,25.70,27.00,27.00,27.00,2,100,2573.00,
524542,SUKJIT STRCH,X ,Q,540.00,559.50,522.05,547.00,547.00,546.90,66,1465,805176.00,
524558,NEULAND LAB.,B ,Q,690.05,713.15,690.05,700.50,699.00,696.70,117,1814,1285225.00,
524564,GAYATRI BIO ,X ,Q,9.64,9.64,9.63,9.63,9.64,9.00,4,1216,11711.00,
524570,PODDAR PIGM.,B ,Q,298.35,301.30,296.35,299.25,299.25,299.35,58,2146,643216.00,
524576,VIVID IND   ,X ,Q,49.40,51.90,49.40,51.15,51.80,50.00,39,7349,373010.00,
524580,PRIYA LTD.  ,X ,Q,41.25,45.45,41.25,45.45,45.45,43.30,7,1005,44354.00,
524582,TIRUPATI STA,XT,Q,22.30,22.30,22.30,22.30,22.30,21.25,1,400,8920.00,
524588,EMEDTECH    ,XT,Q,4.67,4.67,4.67,4.67,4.67,4.91,1,114,532.00,
524590,HEMORGANIC  ,XT,Q,13.90,15.30,13.90,15.12,15.30,14.60,32,15700,236350.00,
524592,JD ORGOCHEM ,X ,Q,3.97,3.97,3.97,3.97,3.97,3.79,2,1010,4009.00,
524594,ASHOK-ALCO  ,X ,Q,114.00,116.50,109.90,111.25,111.25,112.10,131,10266,1160311.00,
524598,AKSHARCHEM I,B ,Q,740.00,740.00,720.00,729.50,727.50,718.70,46,1164,846844.00,
524606,BERYL DRUGS ,XT,Q,13.60,13.88,13.60,13.88,13.88,13.22,12,5007,69417.00,
524610,RATHI GRAPH.,X ,Q,17.20,17.20,15.90,16.25,16.60,15.75,36,36313,593290.00,
524622,ISTRNETWK   ,XT,Q,3.99,3.99,3.99,3.99,3.99,4.19,7,1100,4389.00,
524634,ALU FLUORIDE,X ,Q,117.90,123.30,114.00,116.95,116.95,117.90,169,18712,2218148.00,
524636,S.S.ORGANICS,P ,Q,9.45,9.45,9.45,9.45,9.45,9.00,2,200,1890.00,
524640,ARCHITORG   ,X ,Q,52.10,54.00,50.70,53.80,52.10,52.10,26,5644,302953.00,
524648,INDO AMINES ,X ,Q,111.00,111.00,102.00,106.35,106.70,116.70,494,52960,5589826.00,
524652,IND.SWIFT LT,B ,Q,9.25,9.55,9.16,9.41,9.41,9.10,10,6900,64288.00,
524654,NATURAL CAPS,X ,Q,122.55,125.00,119.00,119.80,119.80,123.35,42,2297,279240.00,
524663,BH.IMMUN&BIO,SS,Q,24.10,25.95,24.00,25.55,25.40,24.75,76,27197,696970.00,
524667,SOTL        ,B ,Q,1524.85,1524.90,1491.35,1506.10,1510.00,1490.00,40,714,1075788.00,
524669,HESTER BISC ,B ,Q,1610.00,1647.50,1575.80,1597.05,1592.00,1573.80,158,698,1121258.00,
524675,KABSONS INDU,XT,Q,9.00,9.42,9.00,9.25,9.25,8.98,9,2062,19040.00,
